#AGWN
00051192-n	grc:lemma	παλιντροπάομαι
00051192-n	grc:lemma	ἀντανατρέχω
00051192-n	grc:lemma	ἐπαναλύω
00051192-n	grc:lemma	ἀποπορεία
00051192-n	grc:lemma	παλινοστέω
00051192-n	grc:lemma	ἀνέρχομαι
00051192-n	grc:lemma	ἐπανήκω
00051192-n	grc:lemma	ἀπονοστέω
00051192-n	grc:lemma	ἐπανέρχομαι
00051192-n	grc:lemma	ἐπανάκαμψις
00051192-n	grc:lemma	ἀνάνευσις
#00051525-n	eng:def	0	the act of entering into or through something
00051525-n	grc:lemma	εἴσκρισις
#00055315-n	eng:def	0	withdrawing support or help despite allegiance or responsibility
00055315-n	grc:lemma	ἔκλειψις
00055315-n	grc:lemma	ἀπόλειψις
00055315-n	grc:lemma	ἀποστασία
00055315-n	grc:lemma	μεταγνώμη
00055315-n	grc:lemma	αὐτομολία
00055315-n	grc:lemma	λιποτάξιον
00055315-n	grc:lemma	λιποταξία
#00056087-n	eng:def	0	migration from a place (especially migration from your native country in order to settle in another)
00056087-n	grc:lemma	ἀποίκησις
00056087-n	grc:lemma	ἐξοίκησις
00056087-n	grc:lemma	μετοικισμός
#00058337-n	eng:def	0	the act of passengers and crew getting aboard a ship or aircraft
00058337-n	grc:lemma	ἔμβασις
#00058743-n	eng:def	0	the act of escaping physically
00058743-n	grc:lemma	ἀποφεύγω
00058743-n	grc:lemma	ῥιπή
00058743-n	grc:lemma	ἀφομιλέω
00058743-n	grc:lemma	ἐξάλυξις
00058743-n	grc:lemma	ἔκφευξις
00058743-n	grc:lemma	ἀπόδρασις
00058743-n	grc:lemma	ἀποπροφεύγω
00058743-n	grc:lemma	φύξις
00058743-n	grc:lemma	ποτή
00058743-n	grc:lemma	φόβος
00058743-n	grc:lemma	ἀλύσκω
00058743-n	grc:lemma	ἐκφυγή
00058743-n	grc:lemma	ἀλέα
00058743-n	grc:lemma	ἀλέη
00058743-n	grc:lemma	ἔκπτωσις
00058743-n	grc:lemma	πτέσθαι
00058743-n	grc:lemma	ἐξείλησις
00058743-n	grc:lemma	ὑπεκκλίνω
00058743-n	grc:lemma	ὑπεξάλυξις
00058743-n	grc:lemma	μάχη
00058743-n	grc:lemma	φυγή
00058743-n	grc:lemma	ἔκδυσις
00058743-n	grc:lemma	προφεύγω
00058743-n	grc:lemma	ἄλυξις
00058743-n	grc:lemma	ἐκφεύγω
00058743-n	grc:lemma	ἀλεωρή
00058743-n	grc:lemma	φεύγω
00058743-n	grc:lemma	ἐξαλέομαι
00058743-n	grc:lemma	διεξοδεύω
00058743-n	grc:lemma	παράβασις
00058743-n	grc:lemma	ὑπάλυξις
00058743-n	grc:lemma	ἐκδιδράσκω
00058743-n	grc:lemma	περιφεύγω
00058743-n	grc:lemma	διαδιδράσκω
00058743-n	grc:lemma	ἀναφυγή
00058743-n	grc:lemma	διαπίπτω
00058743-n	grc:lemma	διαφεύγω
00058743-n	grc:lemma	ἀική
00058743-n	grc:lemma	δράσκασις
00058743-n	grc:lemma	ὑπέκδυσις
00058743-n	grc:lemma	ὑπαλύσκω
00058743-n	grc:lemma	ὑπεκδύομαι
00058743-n	grc:lemma	παραπνέω
00058743-n	grc:lemma	πότημα
